DATE,CPALTT01USQ657N
2009-10-01,0.20118858880576
2010-01-01,0.40141505360425
2010-04-01,0.475072151679043
2010-07-01,0.0932504983551205
2010-10-01,0.294916320739454
2011-01-01,1.26482237514333
2011-04-01,1.74331089219681
2011-07-01,0.408517984250489
2011-10-01,-0.152055770464975
2012-01-01,0.795638655920569
2012-04-01,0.827531738138412
2012-07-01,0.219328147982669
2012-10-01,0.0360404695392824
2013-01-01,0.590329875755822
2013-04-01,0.540980611864743
2013-07-01,0.377979341325954
2013-10-01,-0.27906764611145
2014-01-01,0.761222529671388
2014-04-01,1.18086781372786
2014-07-01,0.114675844472626
2014-10-01,-0.803351756605549
2015-01-01,-0.543199001688326
2015-04-01,1.2055956442996
2015-07-01,0.262677373843337
2015-10-01,-0.449843687711113
2016-01-01,0.064634065805905
2016-04-01,1.17235055654708
2016-07-01,0.332681941074896
2016-10-01,0.222574197162863
2017-01-01,0.790736962984811
2017-04-01,0.543517705750018
2017-07-01,0.396615691380691
2017-10-01,0.370629636262026
2018-01-01,0.8861183797928
2018-04-01,1.03307556684511
2018-07-01,0.327267567757511
2018-10-01,-0.0574947362577725
2019-01-01,0.335116034257493
2019-04-01,1.1985132267461
2019-07-01,0.274166007843393
2019-10-01,0.213017997422981
